answer,value
Emma,0.009043
Isabella,0.008941
Emily,0.008377
Madison,0.008199
Ava,0.008198
Olivia,0.008196
Sophia,0.007729
Abigail,0.00725
Elizabeth,0.005748
Chloe,0.005692
Samantha,0.005384
Addison,0.005188
Natalie,0.004905
Mia,0.004898
Alexis,0.004671
Alyssa,0.00464
Hannah,0.004582
Ashley,0.00453
Ella,0.004497
Sarah,0.004332
total,0.125
